case_id,target,role,model_key,variable,input_name,target_metric,baseline,contrast,lead_h,patch_site,patch_region,score_base,score_source,score_patched,delta_source_minus_base,delta_patched_minus_base,recovery,hotspot_lat,hotspot_lon,low_near_lat,low_near_lon
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s0_skip,whole,9.516529083251953,9.511701583862305,9.516518592834473,-0.0048274993896484375,-1.049041748046875e-05,0.002173054128802845,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s0_skip,target_box,9.516529083251953,9.511701583862305,9.516125679016113,-0.0048274993896484375,-0.00040340423583984375,0.08356380877123666,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s0_skip,mountain_near,9.516529083251953,9.511701583862305,9.516092300415039,-0.0048274993896484375,-0.0004367828369140625,0.09047807190833662,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s0_skip,upstream,9.516529083251953,9.511701583862305,9.516495704650879,-0.0048274993896484375,-3.337860107421875e-05,0.00691426313709996,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s0_skip,hotspot_gaussian,9.516529083251953,9.511701583862305,9.516655921936035,-0.0048274993896484375,0.00012683868408203125,-0.02627419992097985,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s0_skip,low_near_gaussian,9.516529083251953,9.511701583862305,9.51648998260498,-0.0048274993896484375,-3.910064697265625e-05,0.00809956538917424,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s0_skip,remote_control,9.516529083251953,9.511701583862305,9.516881942749023,-0.0048274993896484375,0.0003528594970703125,-0.07309363887791387,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s1_skip,whole,9.516529083251953,9.511701583862305,9.516529083251953,-0.0048274993896484375,0.0,-0.0,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s1_skip,target_box,9.516529083251953,9.511701583862305,9.516529083251953,-0.0048274993896484375,0.0,-0.0,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s1_skip,mountain_near,9.516529083251953,9.511701583862305,9.516529083251953,-0.0048274993896484375,0.0,-0.0,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s1_skip,upstream,9.516529083251953,9.511701583862305,9.516529083251953,-0.0048274993896484375,0.0,-0.0,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s1_skip,hotspot_gaussian,9.516529083251953,9.511701583862305,9.516529083251953,-0.0048274993896484375,0.0,-0.0,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s1_skip,low_near_gaussian,9.516529083251953,9.511701583862305,9.516529083251953,-0.0048274993896484375,0.0,-0.0,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s1_skip,remote_control,9.516529083251953,9.511701583862305,9.516529083251953,-0.0048274993896484375,0.0,-0.0,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s2_bottleneck,whole,9.516529083251953,9.511701583862305,9.512369155883789,-0.0048274993896484375,-0.0041599273681640625,0.8617147372580007,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s2_bottleneck,target_box,9.516529083251953,9.511701583862305,9.516691207885742,-0.0048274993896484375,0.0001621246337890625,-0.033583563808771234,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s2_bottleneck,mountain_near,9.516529083251953,9.511701583862305,9.51367473602295,-0.0048274993896484375,-0.0028543472290039062,0.5912682734097194,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s2_bottleneck,upstream,9.516529083251953,9.511701583862305,9.515847206115723,-0.0048274993896484375,-0.0006818771362304688,0.1412485183721849,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s2_bottleneck,hotspot_gaussian,9.516529083251953,9.511701583862305,9.513589859008789,-0.0048274993896484375,-0.0029392242431640625,0.608850256815488,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s2_bottleneck,low_near_gaussian,9.516529083251953,9.511701583862305,9.514749526977539,-0.0048274993896484375,-0.0017795562744140625,0.36862900039510077,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,enc_s2_bottleneck,remote_control,9.516529083251953,9.511701583862305,9.517196655273438,-0.0048274993896484375,0.000667572021484375,-0.1382852627419992,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s0_pre_skip,whole,9.516529083251953,9.511701583862305,9.512369155883789,-0.0048274993896484375,-0.0041599273681640625,0.8617147372580007,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s0_pre_skip,target_box,9.516529083251953,9.511701583862305,9.516691207885742,-0.0048274993896484375,0.0001621246337890625,-0.033583563808771234,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s0_pre_skip,mountain_near,9.516529083251953,9.511701583862305,9.51367473602295,-0.0048274993896484375,-0.0028543472290039062,0.5912682734097194,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s0_pre_skip,upstream,9.516529083251953,9.511701583862305,9.515847206115723,-0.0048274993896484375,-0.0006818771362304688,0.1412485183721849,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s0_pre_skip,hotspot_gaussian,9.516529083251953,9.511701583862305,9.513589859008789,-0.0048274993896484375,-0.0029392242431640625,0.608850256815488,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s0_pre_skip,low_near_gaussian,9.516529083251953,9.511701583862305,9.514749526977539,-0.0048274993896484375,-0.0017795562744140625,0.36862900039510077,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s0_pre_skip,remote_control,9.516529083251953,9.511701583862305,9.517196655273438,-0.0048274993896484375,0.000667572021484375,-0.1382852627419992,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s1_pre_skip,whole,9.516529083251953,9.511701583862305,9.511763572692871,-0.0048274993896484375,-0.004765510559082031,0.9871592256025287,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s1_pre_skip,target_box,9.516529083251953,9.511701583862305,9.512516021728516,-0.0048274993896484375,-0.0040130615234375,0.831291979454761,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s1_pre_skip,mountain_near,9.516529083251953,9.511701583862305,9.514730453491211,-0.0048274993896484375,-0.0017986297607421875,0.372580007902015,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s1_pre_skip,upstream,9.516529083251953,9.511701583862305,9.514192581176758,-0.0048274993896484375,-0.0023365020751953125,0.48399841959699724,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s1_pre_skip,hotspot_gaussian,9.516529083251953,9.511701583862305,9.51499080657959,-0.0048274993896484375,-0.0015382766723632812,0.3186487554326353,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s1_pre_skip,low_near_gaussian,9.516529083251953,9.511701583862305,9.516331672668457,-0.0048274993896484375,-0.00019741058349609375,0.04089292769656262,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s1_pre_skip,remote_control,9.516529083251953,9.511701583862305,9.516239166259766,-0.0048274993896484375,-0.0002899169921875,0.0600553141050968,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
andes_2020012000_top06_2020,andes,top06_2020,precip_large_zwd,precip,tp_mswep,q850_box_mean_g_per_kg,per-timestep spatial mean,actual_vs_uniform_tp,6,dec_s1_post_skip,whole,9.516529083251953,9.511701583862305,9.511682510375977,-0.0048274993896484375,-0.0048465728759765625,1.0039510075069142,-30.02252252252252,288.04529172445586,-45.02252252252252,273.04529172445586
