contrast,lead_h,patch_site,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_tp,6,dec_s0_pre_skip,14,-0.6924450780976519,-0.08593441327538522,1.6081246775694618
actual_vs_uniform_tp,6,dec_s1_post_skip,14,0.43057865474904533,0.43558196761263024,0.4638434537487757
actual_vs_uniform_tp,6,dec_s1_pre_skip,14,0.45504594072197274,0.3828785635650668,0.3919508827462741
actual_vs_uniform_tp,6,dec_s2_post_concat,14,0.524253689613565,0.6153771115493858,0.44399268379399587
actual_vs_uniform_tp,6,dec_s2_pre_concat,14,0.43057865474904533,0.43558196761263024,0.4638434537487757
actual_vs_uniform_tp,6,enc_s0_skip,14,0.10425274202527236,0.09313703733252807,0.1064538246463285
actual_vs_uniform_tp,6,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_tp,6,enc_s2_bottleneck,14,-0.6924450780976519,-0.08593441327538522,1.6081246775694618
actual_vs_uniform_tp,12,dec_s0_pre_skip,14,1.0654758184868043,0.6717631750162655,1.3365057142351107
actual_vs_uniform_tp,12,dec_s1_post_skip,14,1.3998837801346868,1.4583644795144117,1.7202521007598046
actual_vs_uniform_tp,12,dec_s1_pre_skip,14,0.5109315396270431,0.3683621493036901,1.9638124642747379
actual_vs_uniform_tp,12,dec_s2_post_concat,14,1.708886054771925,1.5657124268054652,1.325407865841522
actual_vs_uniform_tp,12,dec_s2_pre_concat,14,1.3998837801346868,1.4583644795144117,1.7202521007598046
actual_vs_uniform_tp,12,enc_s0_skip,14,0.49680247151362955,-0.3460272490933898,1.953408000905162
actual_vs_uniform_tp,12,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_tp,12,enc_s2_bottleneck,14,1.0654758184868043,0.6717631750162655,1.3365057142351107
actual_vs_uniform_tp,24,dec_s0_pre_skip,14,-1.0644076234414033,0.14137750372788457,2.2001810861600393
actual_vs_uniform_tp,24,dec_s1_post_skip,14,-0.5259835747334007,0.2804578245274654,2.511572591779716
actual_vs_uniform_tp,24,dec_s1_pre_skip,14,-1.0671805094320386,0.09595776407528311,2.8002601818611748
actual_vs_uniform_tp,24,dec_s2_post_concat,14,-1.2513321168223874,-0.09557490025389916,3.1854504890270263
actual_vs_uniform_tp,24,dec_s2_pre_concat,14,-0.5259835747334007,0.2804578245274654,2.511572591779716
actual_vs_uniform_tp,24,enc_s0_skip,14,-1.8408970175150687,-0.2036029500664974,2.8233785508090192
actual_vs_uniform_tp,24,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_tp,24,enc_s2_bottleneck,14,-1.0644076234414033,0.14137750372788457,2.2001810861600393
