contrast,lead_h,patch_region,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_q,6,hotspot_gaussian,16,0.5020095757939315,0.5438519843332419,0.23848582437459842
actual_vs_uniform_q,6,low_near_gaussian,16,0.011602222555389436,0.010620746176418828,0.008510998316379427
actual_vs_uniform_q,6,mountain_near,16,0.27292278102006096,0.0007842857608752263,0.34406232503267054
actual_vs_uniform_q,6,remote_control,16,0.0002958900861482494,3.4020356963071796e-05,0.00048665982528081565
actual_vs_uniform_q,6,target_box,16,0.36964511193446264,0.3041641909498971,0.3148075505272128
actual_vs_uniform_q,6,upstream,16,0.2915147113889733,0.29573670651939105,0.15859019095407542
actual_vs_uniform_q,6,whole,16,0.6137852167858805,0.6969366842788094,0.28719720524861114
actual_vs_uniform_q,12,hotspot_gaussian,16,0.5688927967859069,0.5848725943668952,0.2647529460594315
actual_vs_uniform_q,12,low_near_gaussian,16,0.008470637455916627,0.008140010386609095,0.005985136693283435
actual_vs_uniform_q,12,mountain_near,16,0.2670009669248561,0.01253923350128025,0.32360547503260917
actual_vs_uniform_q,12,remote_control,16,0.0013902441422068907,0.0017090985867679752,0.0017756360405321427
actual_vs_uniform_q,12,target_box,16,0.22501798296742545,0.12722464276864623,0.24889729788346338
actual_vs_uniform_q,12,upstream,16,0.5161820409452909,0.507644829488034,0.2609492194685013
actual_vs_uniform_q,12,whole,16,0.6413901607906154,0.6771319278103576,0.2813208467735329
actual_vs_uniform_q,24,hotspot_gaussian,16,0.733214836987327,0.5520322287033069,0.5778345436174032
actual_vs_uniform_q,24,low_near_gaussian,16,-0.08286000314687242,-0.00029794234251800933,0.10423775252161396
actual_vs_uniform_q,24,mountain_near,16,0.004015398222411844,0.0,0.11589022859777683
actual_vs_uniform_q,24,remote_control,16,-0.028626618834904725,-0.018156856266079907,0.03357038441425551
actual_vs_uniform_q,24,target_box,16,-0.07621151042451861,-0.01774594067200368,0.10702878260074014
actual_vs_uniform_q,24,upstream,16,0.8711254811722209,1.0199031416748956,0.4271998062155493
actual_vs_uniform_q,24,whole,16,0.9105841128335225,1.0506007230649572,0.46978742679623015
