contrast,lead_h,patch_site,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_q,6,dec_s0_pre_skip,14,0.2793105461083308,0.2776593175874502,0.26375095971815476
actual_vs_uniform_q,6,dec_s1_post_skip,14,0.3973331546787199,0.4142651625241846,0.3330615043215826
actual_vs_uniform_q,6,dec_s1_pre_skip,14,0.3244762838746033,0.40514790431980036,0.28096266192710667
actual_vs_uniform_q,6,dec_s2_post_concat,14,0.4963061924206436,0.5149998641495631,0.41755956100158864
actual_vs_uniform_q,6,dec_s2_pre_concat,14,0.3973331546787199,0.4142651625241846,0.3330615043215826
actual_vs_uniform_q,6,enc_s0_skip,14,0.18224499020476204,0.2151602128600019,0.1513012122560526
actual_vs_uniform_q,6,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_q,6,enc_s2_bottleneck,14,0.2793105461083308,0.2776593175874502,0.26375095971815476
actual_vs_uniform_q,12,dec_s0_pre_skip,14,0.2834479759163412,0.2752720504997118,0.26764998848860855
actual_vs_uniform_q,12,dec_s1_post_skip,14,0.42700132418996734,0.5721627836480365,0.3602139068607254
actual_vs_uniform_q,12,dec_s1_pre_skip,14,0.3343312450312417,0.4317121851300373,0.2941666622851282
actual_vs_uniform_q,12,dec_s2_post_concat,14,0.5285233426588755,0.7054784533060282,0.444002104757008
actual_vs_uniform_q,12,dec_s2_pre_concat,14,0.42700132418996734,0.5721627836480365,0.3602139068607254
actual_vs_uniform_q,12,enc_s0_skip,14,0.2629266178255153,0.35510059325109605,0.22541856514759961
actual_vs_uniform_q,12,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_q,12,enc_s2_bottleneck,14,0.2834479759163412,0.2752720504997118,0.26764998848860855
actual_vs_uniform_q,24,dec_s0_pre_skip,14,0.47277276820382974,0.13058117760900367,0.5964410317075605
actual_vs_uniform_q,24,dec_s1_post_skip,14,0.4185510312719813,0.012647452356509294,0.601585963173559
actual_vs_uniform_q,24,dec_s1_pre_skip,14,0.4124524703664393,0.013377211012298214,0.5553647014279333
actual_vs_uniform_q,24,dec_s2_post_concat,14,0.3471748701969625,0.0031733224099934013,0.614985551588042
actual_vs_uniform_q,24,dec_s2_pre_concat,14,0.4185510312719813,0.012647452356509294,0.601585963173559
actual_vs_uniform_q,24,enc_s0_skip,14,0.12200128540976105,0.0006500890916723842,0.3231152652544474
actual_vs_uniform_q,24,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_q,24,enc_s2_bottleneck,14,0.47277276820382974,0.13058117760900367,0.5964410317075605
