contrast,lead_h,patch_site,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_tp,6,dec_s0_pre_skip,14,0.4517264344259742,0.2705307631370478,1.308347103955685
actual_vs_uniform_tp,6,dec_s1_post_skip,14,0.5054861729619705,0.6480063374702931,0.49679579075040514
actual_vs_uniform_tp,6,dec_s1_pre_skip,14,0.6104697724104867,0.6295220491153948,0.8593418113704312
actual_vs_uniform_tp,6,dec_s2_post_concat,14,0.4558741995004513,0.582099942827423,0.4581248204384744
actual_vs_uniform_tp,6,dec_s2_pre_concat,14,0.5054861729619705,0.6480063374702931,0.49679579075040514
actual_vs_uniform_tp,6,enc_s0_skip,14,0.0479197065396847,0.09862688143649327,0.35627871984491905
actual_vs_uniform_tp,6,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_tp,6,enc_s2_bottleneck,14,0.4517264344259742,0.2705307631370478,1.308347103955685
actual_vs_uniform_tp,12,dec_s0_pre_skip,14,0.988012259346817,1.048075354754526,1.6370468790130193
actual_vs_uniform_tp,12,dec_s1_post_skip,14,1.0056565108070998,1.1192709182841298,1.25590489076557
actual_vs_uniform_tp,12,dec_s1_pre_skip,14,1.1043997923743054,1.057896499549042,0.8689634094331056
actual_vs_uniform_tp,12,dec_s2_post_concat,14,0.16945303744215895,1.0520633816482428,1.961813161044152
actual_vs_uniform_tp,12,dec_s2_pre_concat,14,1.0056565108070998,1.1192709182841298,1.25590489076557
actual_vs_uniform_tp,12,enc_s0_skip,14,-0.43851410126044377,-0.012616083752432894,1.5512419426211193
actual_vs_uniform_tp,12,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_tp,12,enc_s2_bottleneck,14,0.988012259346817,1.048075354754526,1.6370468790130193
actual_vs_uniform_tp,24,dec_s0_pre_skip,14,0.5452004839375268,0.4254348116798159,1.6537100853839286
actual_vs_uniform_tp,24,dec_s1_post_skip,14,-0.4465503271600619,-0.136527973367084,1.3048227955188234
actual_vs_uniform_tp,24,dec_s1_pre_skip,14,0.9090029161696659,0.767350332231442,1.0138596349710804
actual_vs_uniform_tp,24,dec_s2_post_concat,14,0.759123426767216,0.9926941388934494,1.0694834261733484
actual_vs_uniform_tp,24,dec_s2_pre_concat,14,-0.4465503271600619,-0.136527973367084,1.3048227955188234
actual_vs_uniform_tp,24,enc_s0_skip,14,0.07537925493399784,0.3545511119243356,1.2365257722262601
actual_vs_uniform_tp,24,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_tp,24,enc_s2_bottleneck,14,0.5452004839375268,0.4254348116798159,1.6537100853839286
