contrast,lead_h,patch_region,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_tp,6,hotspot_gaussian,16,0.6897555140375035,0.7464468447981808,0.3497337145072288
actual_vs_uniform_tp,6,low_near_gaussian,16,0.2468367609506782,0.02473065621939275,0.3965400330823666
actual_vs_uniform_tp,6,mountain_near,16,0.21282165102767966,0.054725759059745346,0.4045539451689585
actual_vs_uniform_tp,6,remote_control,16,0.0778303595639941,0.006822057987492893,0.20046039490716872
actual_vs_uniform_tp,6,target_box,16,0.5161694140224139,0.5404015670910872,0.31996719260211004
actual_vs_uniform_tp,6,upstream,16,0.13033870269257475,0.15832859579306424,0.19260548840957947
actual_vs_uniform_tp,6,whole,16,0.750613745789807,0.8857305287094941,0.4134842540518551
actual_vs_uniform_tp,12,hotspot_gaussian,16,0.3556017883016853,0.0,1.8219060083842162
actual_vs_uniform_tp,12,low_near_gaussian,16,-0.9028847917188686,-0.6685410334346504,2.030629573384113
actual_vs_uniform_tp,12,mountain_near,16,-0.7332737096592623,-0.7405775075987842,1.161297909332336
actual_vs_uniform_tp,12,remote_control,16,-1.0139166466937573,-0.5164133738601824,1.9318892211608452
actual_vs_uniform_tp,12,target_box,16,0.30326084982914087,0.0022796352583586625,1.6907609874742497
actual_vs_uniform_tp,12,upstream,16,-0.29266401844044265,-0.15,1.4607444627209538
actual_vs_uniform_tp,12,whole,16,0.9559297525538087,0.0,1.8224745107893763
actual_vs_uniform_tp,24,hotspot_gaussian,16,1.6714742677004888,1.0732830049714601,1.87112702011134
actual_vs_uniform_tp,24,low_near_gaussian,16,0.6160485362006872,0.48867611857853066,1.8570599240531112
actual_vs_uniform_tp,24,mountain_near,16,0.7293443175009129,0.8067678409257589,0.943748047034096
actual_vs_uniform_tp,24,remote_control,16,1.2421309717792397,0.8161480390351685,1.6626809507964895
actual_vs_uniform_tp,24,target_box,16,0.8388653741351438,0.5997434299017879,1.0261814932470001
actual_vs_uniform_tp,24,upstream,16,2.1065564519558153,1.2778493831706867,2.6580960355155865
actual_vs_uniform_tp,24,whole,16,1.1095187769755546,0.6597038657549723,1.7901131084878676
