contrast,lead_h,patch_site,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_zwd,6,dec_s0_pre_skip,14,-0.0862006690193152,-0.02223114540081153,0.12508410901344758
actual_vs_uniform_zwd,6,dec_s1_post_skip,14,0.24178565604655863,0.29930237708548646,0.21742934400907418
actual_vs_uniform_zwd,6,dec_s1_pre_skip,14,-0.11169769854293805,-0.03697839496220643,0.12221941838343187
actual_vs_uniform_zwd,6,dec_s2_post_concat,14,0.4890880659668158,0.5614221910527093,0.4181192915733622
actual_vs_uniform_zwd,6,dec_s2_pre_concat,14,0.24178565604655863,0.29930237708548646,0.21742934400907418
actual_vs_uniform_zwd,6,enc_s0_skip,14,0.6198821254692896,0.6268547910822383,0.5282698962793726
actual_vs_uniform_zwd,6,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,6,enc_s2_bottleneck,14,-0.0862006690193152,-0.02223114540081153,0.12508410901344758
actual_vs_uniform_zwd,12,dec_s0_pre_skip,14,-0.02488927674879149,-0.013851459442713793,0.07172902532523791
actual_vs_uniform_zwd,12,dec_s1_post_skip,14,0.24681931158536652,0.29631578769815164,0.21067920017259836
actual_vs_uniform_zwd,12,dec_s1_pre_skip,14,-0.028547169785886648,-0.011462218476618553,0.06472021135417293
actual_vs_uniform_zwd,12,dec_s2_post_concat,14,0.5838595894876907,0.7016972138165551,0.49370616208119833
actual_vs_uniform_zwd,12,dec_s2_pre_concat,14,0.24681931158536652,0.29631578769815164,0.21067920017259836
actual_vs_uniform_zwd,12,enc_s0_skip,14,0.6120327404635507,0.7564459377856942,0.49997619540959515
actual_vs_uniform_zwd,12,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,12,enc_s2_bottleneck,14,-0.02488927674879149,-0.013851459442713793,0.07172902532523791
actual_vs_uniform_zwd,24,dec_s0_pre_skip,14,0.03710348762369419,0.004722751813292717,0.11004909522002321
actual_vs_uniform_zwd,24,dec_s1_post_skip,14,0.1643392336872487,0.106531034064165,0.17062622379721046
actual_vs_uniform_zwd,24,dec_s1_pre_skip,14,0.015659585114834933,0.012625954570961525,0.05491315746766289
actual_vs_uniform_zwd,24,dec_s2_post_concat,14,0.5220395521678014,0.6169907913221065,0.4877541499774795
actual_vs_uniform_zwd,24,dec_s2_pre_concat,14,0.1643392336872487,0.106531034064165,0.17062622379721046
actual_vs_uniform_zwd,24,enc_s0_skip,14,0.5705405422955075,0.6202140748460313,0.5225694221337193
actual_vs_uniform_zwd,24,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,24,enc_s2_bottleneck,14,0.03710348762369419,0.004722751813292717,0.11004909522002321
