contrast,lead_h,patch_region,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_zwd,6,hotspot_gaussian,16,0.30669605262820016,0.20004983343958482,0.47533634130862584
actual_vs_uniform_zwd,6,low_near_gaussian,16,0.006369802277075648,0.005339214528274029,0.015254239039666091
actual_vs_uniform_zwd,6,mountain_near,16,0.15412902621679603,-0.009368079137752842,0.38174618051991804
actual_vs_uniform_zwd,6,remote_control,16,-0.0020205667506562035,-0.0002060604669861455,0.007036319076006695
actual_vs_uniform_zwd,6,target_box,16,0.3093342038046187,0.23051638860180126,0.33953550687851825
actual_vs_uniform_zwd,6,upstream,16,0.07691301984736874,0.005536656406538427,0.19879069957806436
actual_vs_uniform_zwd,6,whole,16,0.2934656205557945,0.22072173186915803,0.5997884799400804
actual_vs_uniform_zwd,12,hotspot_gaussian,16,0.3455880130268737,0.1976017704190239,0.4308452406210867
actual_vs_uniform_zwd,12,low_near_gaussian,16,0.006067601613200642,0.001551860343317293,0.013261686360507613
actual_vs_uniform_zwd,12,mountain_near,16,0.19146217827952278,-0.009752822786048504,0.3851734391031032
actual_vs_uniform_zwd,12,remote_control,16,-0.0012921106239868838,0.0,0.008732507936692
actual_vs_uniform_zwd,12,target_box,16,0.4294388992170287,0.2222958772311564,0.4741560902046381
actual_vs_uniform_zwd,12,upstream,16,0.14257296142799508,0.09012173694378657,0.19651803103273685
actual_vs_uniform_zwd,12,whole,16,0.2959670331680577,0.1770537096823164,0.4589648735389602
actual_vs_uniform_zwd,24,hotspot_gaussian,16,0.41157499360920524,0.31653468604835644,0.4283703948550829
actual_vs_uniform_zwd,24,low_near_gaussian,16,0.011474815011497807,0.007176491500789449,0.019598116201201072
actual_vs_uniform_zwd,24,mountain_near,16,0.09139214373092831,0.0,0.2848055412797791
actual_vs_uniform_zwd,24,remote_control,16,0.00342737325735669,0.007857067894899133,0.01758834511465036
actual_vs_uniform_zwd,24,target_box,16,0.3589897091334392,0.22096003395490588,0.4507830740560847
actual_vs_uniform_zwd,24,upstream,16,0.1873680096179931,0.08665480862423719,0.2957407953553518
actual_vs_uniform_zwd,24,whole,16,0.25800743756460554,0.07034773432156043,0.3614540683414551
