target,init_time,stratum,tcwv,tcwv_pct,precip,precip_pct,month,resid_rms,resid_mean,resid_std
andes,2020-11-22T00:00:00,low,7.898769855499268,22.5,3.1092924928088905e-06,50.0,11,36.87210655212402,-34.178226470947266,13.830030918121338
andes,2022-03-11T00:00:00,low,10.221603393554688,27.82258064516129,5.5226591939572245e-06,51.20967741935484,3,43.65036964416504,-40.03301429748535,17.398629188537598
andes,2020-10-08T00:00:00,low,5.412717819213867,13.306451612903224,7.925838872324675e-06,63.70967741935484,10,30.65488052368164,-28.35143756866455,11.6560378074646
andes,2020-05-09T00:00:00,typical,8.042593002319336,50.403225806451616,6.055515200387163e-07,42.33870967741936,5,39.043996810913086,-34.91779136657715,17.45595073699951
andes,2021-10-20T12:00:00,typical,7.050009250640869,46.774193548387096,4.277790594642283e-06,58.06451612903226,10,41.01337814331055,-36.53478240966797,18.60856914520264
andes,2022-12-05T12:00:00,typical,11.06105899810791,58.06451612903226,1.6464082364109345e-06,30.64516129032258,12,53.16705894470215,-47.64578056335449,23.588233947753906
andes,2020-09-17T00:00:00,humid,9.540278434753418,83.75,1.0009837403401889e-08,8.75,9,44.90822792053223,-40.7677116394043,18.80627155303955
andes,2021-08-15T12:00:00,humid,7.775291442871094,70.16129032258065,5.5609129049116746e-05,79.43548387096774,8,33.32363986968994,-31.148829460144043,11.819697380065918
andes,2023-08-11T00:00:00,humid,8.198204040527344,79.43548387096774,3.413337981328368e-05,75.40322580645162,8,41.35142517089844,-36.973188400268555,18.506796836853027
andes,2023-09-10T00:00:00,extreme,12.376973152160645,97.5,0.0003542340127751,97.91666666666666,9,44.64072608947754,-41.9100399017334,15.346274375915527
andes,2020-05-30T00:00:00,extreme,12.718911170959473,96.37096774193547,6.187198596308008e-05,89.11290322580645,5,46.07191467285156,-42.23158836364746,18.400309562683105
andes,2022-11-24T12:00:00,extreme,15.732393264770508,97.91666666666666,2.683316552065662e-06,47.083333333333336,11,50.43129920959473,-46.52874183654785,19.450969696044922
ganges_plain,2023-12-13T12:00:00,low,14.360788345336914,19.758064516129032,7.642532864338136e-07,79.03225806451613,12,25.037324905395508,-23.31142807006836,9.126606464385986
