target,init_time,stratum,tcwv,tcwv_pct,precip,precip_pct,month,resid_rms,resid_mean,resid_std
rockies,2020-10-28T12:00:00,low,6.600897312164307,23.387096774193548,,,10,5.601987361907959,-4.508883714675903,3.2822182178497314
rockies,2022-03-07T12:00:00,low,3.3923115730285645,12.903225806451612,,,3,3.1798455715179443,-2.8074976205825806,1.4930457472801208
rockies,2020-09-25T12:00:00,low,9.271373748779297,17.083333333333332,,,9,8.527698040008545,-6.185501575469971,5.867604970932007
rockies,2020-04-18T12:00:00,typical,5.875777244567871,41.66666666666667,,,4,6.269449710845947,-4.493829250335693,4.36040186882019
rockies,2021-08-29T00:00:00,typical,16.84921646118164,43.95161290322581,,,8,6.9346840381622314,0.2916900962591171,6.913505792617798
rockies,2022-11-01T00:00:00,typical,6.329041004180908,59.583333333333336,,,11,4.796246767044067,-3.0031365156173706,3.705849528312683
rockies,2020-12-19T00:00:00,humid,5.998367786407471,72.17741935483872,,,12,4.709568023681641,-3.231674313545227,3.4221062660217285
rockies,2021-08-20T00:00:00,humid,21.984296798706055,77.82258064516128,,,8,11.54119873046875,2.247788190841675,11.320013999938965
rockies,2023-08-19T00:00:00,humid,23.223134994506836,84.67741935483872,,,8,10.770602703094482,1.8185396790504456,10.601357460021973
rockies,2023-09-03T12:00:00,extreme,20.21331214904785,95.0,,,9,11.872373104095459,-0.09494519233703613,11.81199836730957
rockies,2020-05-28T00:00:00,extreme,17.87114715576172,97.17741935483872,,,5,7.776647567749023,-1.1503766924142838,7.6331400871276855
rockies,2022-07-25T12:00:00,extreme,28.289262771606445,96.37096774193549,,,7,17.741761684417725,-10.755286931991577,13.848486423492432
alps_east,2023-12-04T12:00:00,low,5.369279384613037,14.919354838709678,,,12,7.43885064125061,-6.770688533782959,3.0713077783584595
alps_east,2021-01-07T12:00:00,low,4.931312561035156,18.951612903225808,,,1,9.403468132019043,-8.184073448181152,4.630286455154419
alps_east,2022-02-27T12:00:00,low,3.7091572284698486,11.061946902654867,,,2,11.400767803192139,-10.686842441558838,3.9655237197875977
alps_east,2020-10-29T00:00:00,typical,15.034673690795898,55.24193548387096,,,10,9.997965812683105,-8.003317832946777,5.986130714416504
alps_east,2023-10-11T00:00:00,typical,15.117197036743164,56.451612903225815,,,10,16.818761825561523,-13.825038433074951,9.557501316070557
alps_east,2021-08-03T12:00:00,typical,20.719457626342773,43.54838709677419,,,8,13.924697399139404,-8.549226760864258,10.821969032287598
alps_east,2022-03-29T12:00:00,humid,9.044692039489746,70.96774193548387,,,3,10.19364595413208,-8.640579223632812,5.408400297164917
alps_east,2023-10-02T00:00:00,humid,16.760225296020508,72.58064516129032,,,10,11.968408107757568,-7.749023914337158,8.493168115615845
alps_east,2022-11-02T12:00:00,humid,13.456473350524902,87.5,,,11,15.466313362121582,-12.955069065093994,8.438865184783936
alps_east,2023-03-30T00:00:00,extreme,15.59087085723877,98.38709677419355,,,3,10.537323951721191,-7.212992191314697,7.580453395843506
