target,init_time,stratum,tcwv,tcwv_pct,precip,precip_pct,month,resid_rms,resid_mean,resid_std
great_plains,2020-12-30T12:00:00,low,6.269253253936768,20.967741935483872,,,12,7.2588794231414795,-6.620756387710571,2.6092981696128845
great_plains,2022-06-04T00:00:00,low,21.47709083557129,12.916666666666668,,,6,7.808006048202515,-6.894065618515015,3.6628142595291138
great_plains,2020-11-26T12:00:00,low,7.32115364074707,24.583333333333332,,,11,5.346268653869629,-5.043659687042236,1.740623116493225
great_plains,2020-04-17T12:00:00,typical,13.074930191040039,52.083333333333336,,,4,4.506815075874329,-3.9619052410125732,2.0203315019607544
great_plains,2021-07-14T00:00:00,typical,36.47850036621094,51.20967741935484,,,7,13.038234233856201,-11.319990634918213,6.457786321640015
great_plains,2022-09-10T00:00:00,typical,26.266202926635742,55.41666666666667,,,9,14.33085036277771,-8.7481889128685,7.771523714065552
great_plains,2020-09-09T00:00:00,humid,31.98240852355957,78.75,,,9,7.50387167930603,-2.953470657579601,6.26500391960144
great_plains,2021-08-12T12:00:00,humid,41.02215576171875,83.87096774193549,,,8,7.85274076461792,-6.0756694078445435,4.7448354959487915
great_plains,2023-08-02T12:00:00,humid,43.02192687988281,87.5,,,8,7.925164461135864,-5.7353675365448,5.448843717575073
great_plains,2023-09-22T12:00:00,extreme,40.537139892578125,96.66666666666667,,,9,15.288213729858398,-13.059348583221436,7.938114404678345
great_plains,2020-03-09T12:00:00,extreme,27.983070373535156,98.79032258064517,,,3,5.231605291366577,-4.640408754348755,2.357064962387085
great_plains,2022-06-23T12:00:00,extreme,45.708763122558594,97.08333333333333,,,6,15.01641845703125,-12.997032642364502,7.497097969055176
aquitaine_basin,2023-12-17T12:00:00,low,7.934762954711914,14.516129032258066,,,12,4.248187780380249,-3.358015775680542,2.537640690803528
aquitaine_basin,2020-12-26T12:00:00,low,8.678487777709961,18.548387096774192,,,12,8.349145650863647,-7.573635816574097,3.4535703659057617
aquitaine_basin,2022-04-01T12:00:00,low,6.515956878662109,11.666666666666666,,,4,4.274630069732666,-3.8884605169296265,1.762220323085785
