target,case_id,case_key,init_time,stratum,terrain,tcwv_resid_mean_t0,tcwv_resid_mean_t1,tcwv_resid_mean,tcwv_resid_rms_t0,tcwv_resid_rms_t1,tcwv_resid_rms,tcwv_slope_t0,tcwv_slope_t1,tcwv_intercept_t0,tcwv_intercept_t1
alps_east,alps_east_2020022412_extreme,alps_east|2020-02-24T12:00:00,2020-02-24T12:00:00,extreme,mountain,-4.935698509216309,-8.485616683959961,-6.710657596588135,8.581336975097656,11.81672477722168,10.326527217336498,5.8360661534384795,5.836213019426699,8.539689891118972,8.556682369306133
alps_east,alps_east_2020102900_typical,alps_east|2020-10-29T00:00:00,2020-10-29T00:00:00,typical,mountain,-6.693330764770508,-6.159585952758789,-6.426458358764648,9.127734184265137,9.084914207458496,9.106349364467727,5.895136927860515,5.915062553566347,7.7414280118722125,7.423350659947432
alps_east,alps_east_2021010712_low,alps_east|2021-01-07T12:00:00,2021-01-07T12:00:00,low,mountain,-7.189911365509033,-7.523630142211914,-7.356770753860474,8.931480407714844,9.06911849975586,9.000562555640844,5.91159780477658,5.90387133669676,7.789153576191336,8.026191641679702
alps_east,alps_east_2021080312_typical,alps_east|2021-08-03T12:00:00,2021-08-03T12:00:00,typical,mountain,-5.5045857429504395,-1.4958933591842651,-3.5002395510673523,11.918863296508789,10.828243255615234,11.38661833653085,5.818094707825527,5.808742579563827,9.038581348482497,9.43091994534988
alps_east,alps_east_2022022712_low,alps_east|2022-02-27T12:00:00,2022-02-27T12:00:00,low,mountain,-10.194962501525879,-9.145469665527344,-9.670216083526611,11.171758651733398,10.011585235595703,10.607545199106575,5.8804127953213685,5.883450269384253,8.146237315473305,8.206579097714524
alps_east,alps_east_2022032912_humid,alps_east|2022-03-29T12:00:00,2022-03-29T12:00:00,humid,mountain,-8.080430030822754,-6.383059024810791,-7.2317445278167725,9.964174270629883,8.339678764343262,9.187899944707727,5.901703829725494,5.903406122211404,7.929638991213196,8.06509126373515
alps_east,alps_east_2022072312_extreme,alps_east|2022-07-23T12:00:00,2022-07-23T12:00:00,extreme,mountain,-9.545557022094727,-11.793684959411621,-10.669620990753174,14.64457893371582,19.33165168762207,17.149000686882232,5.841599849828271,5.836614007489021,8.522902298555211,8.902110917840059
alps_east,alps_east_2022110212_humid,alps_east|2022-11-02T12:00:00,2022-11-02T12:00:00,humid,mountain,-12.454777717590332,-11.574313163757324,-12.014545440673828,15.024272918701172,14.001218795776367,14.521757891226855,5.886394302300229,5.876741689144387,7.951481209168357,8.263314920371794
alps_east,alps_east_2023033000_extreme,alps_east|2023-03-30T00:00:00,2023-03-30T00:00:00,extreme,mountain,-6.619194984436035,-6.948908805847168,-6.784051895141602,9.999995231628418,10.03866195678711,10.019347247082415,5.9173324829062235,5.942241064788274,7.576278637621102,7.135050680233781
alps_east,alps_east_2023100200_humid,alps_east|2023-10-02T00:00:00,2023-10-02T00:00:00,humid,mountain,-6.5478620529174805,-8.31686782836914,-7.4323649406433105,11.81386661529541,11.280574798583984,11.550298961291858,5.8271590868475585,5.85671251169402,8.727628391723355,8.1591636316397
alps_east,alps_east_2023101100_typical,alps_east|2023-10-11T00:00:00,2023-10-11T00:00:00,typical,mountain,-8.240903854370117,-9.770185470581055,-9.005544662475586,13.207706451416016,12.848359107971191,13.029271688666302,5.845092590179955,5.871868898784058,8.088384618749448,7.696230612338338
alps_east,alps_east_2023120412_low,alps_east|2023-12-04T12:00:00,2023-12-04T12:00:00,low,mountain,-5.966597557067871,-4.5643630027771,-5.265480279922485,6.605218410491943,5.366570472717285,6.017847991140302,5.894132998439968,5.888201784171564,7.4542026605525,7.780851965822786
amazon_interior,amazon_interior_2020031712_typical,amazon_interior|2020-03-17T12:00:00,2020-03-17T12:00:00,typical,flat,7.525723457336426,9.207277297973633,8.36650037765503,8.464189529418945,10.815263748168945,9.711138819221532,5.834844669967202,5.840951585538301,8.672087072532088,8.756283207672169
amazon_interior,amazon_interior_2020070412_humid,amazon_interior|2020-07-04T12:00:00,2020-07-04T12:00:00,humid,flat,8.854818344116211,9.939653396606445,9.397235870361328,9.800751686096191,11.552589416503906,10.712540684609683,5.826444651161541,5.817320865425828,8.866835520303567,9.277688376171001
amazon_interior,amazon_interior_2020072700_typical,amazon_interior|2020-07-27T00:00:00,2020-07-27T00:00:00,typical,flat,10.932229042053223,14.204121589660645,12.568175315856934,12.222282409667969,14.970562934875488,13.665685893667153,5.849962595890253,5.870576692808509,8.391727597389643,7.858547066181514
amazon_interior,amazon_interior_2020102700_extreme,amazon_interior|2020-10-27T00:00:00,2020-10-27T00:00:00,extreme,flat,2.751807451248169,0.8278323411941528,1.7898198962211609,5.13791036605835,6.131528377532959,5.656578611410868,5.898425654387828,5.916702326023375,7.916811556853773,7.650252613322193
amazon_interior,amazon_interior_2021042712_low,amazon_interior|2021-04-27T12:00:00,2021-04-27T12:00:00,low,flat,8.19692611694336,8.05810546875,8.12751579284668,9.152908325195312,8.817448616027832,8.986743873776552,5.875663250327082,5.871681547234266,8.250523467138306,8.341181720977172
amazon_interior,amazon_interior_2022032512_humid,amazon_interior|2022-03-25T12:00:00,2022-03-25T12:00:00,humid,flat,3.1027534008026123,6.200037956237793,4.651395678520203,4.8887858390808105,7.368388652801514,6.25273453455091,5.92381216981205,5.919862375206054,7.661889428527317,7.777105272324014
amazon_interior,amazon_interior_2022052300_low,amazon_interior|2022-05-23T00:00:00,2022-05-23T00:00:00,low,flat,7.128302574157715,6.800459861755371,6.964381217956543,8.615487098693848,7.711417198181152,8.175957838448172,5.838191688325099,5.858663869039712,8.80807778014684,8.420804073365616
amazon_interior,amazon_interior_2022090900_extreme,amazon_interior|2022-09-09T00:00:00,2022-09-09T00:00:00,extreme,flat,7.230340480804443,9.794819831848145,8.512580156326294,8.787979125976562,10.824352264404297,9.85888378728835,5.845245226562389,5.868559855263367,8.743871791559526,8.272096621576555
amazon_interior,amazon_interior_2022102000_extreme,amazon_interior|2022-10-20T00:00:00,2022-10-20T00:00:00,extreme,flat,7.012526512145996,2.480309247970581,4.746417880058289,7.970910549163818,6.6330037117004395,7.332535483112334,5.881095502689318,5.893572358762,7.974567113122778,7.703805955080364
amazon_interior,amazon_interior_2022112512_typical,amazon_interior|2022-11-25T12:00:00,2022-11-25T12:00:00,typical,flat,7.74154806137085,9.226381301879883,8.483964681625366,8.69195556640625,9.968266487121582,9.351909653291456,5.9071358696308085,5.901578929745003,7.607883738185966,7.790523503899149
amazon_interior,amazon_interior_2023021600_humid,amazon_interior|2023-02-16T00:00:00,2023-02-16T00:00:00,humid,flat,3.9413177967071533,1.7222416400909424,2.831779718399048,6.972131729125977,3.5786845684051514,5.541552313586255,5.899748964146905,5.927177427858973,7.842368256528547,7.484574266970628
amazon_interior,amazon_interior_2023062212_low,amazon_interior|2023-06-22T12:00:00,2023-06-22T12:00:00,low,flat,11.0765380859375,12.568206787109375,11.822372436523438,11.800947189331055,13.089051246643066,12.461653523963601,5.8055461063746785,5.801590683185652,9.615339221291855,9.946302092171894
andes,andes_2020050900_typical,andes|2020-05-09T00:00:00,2020-05-09T00:00:00,typical,mountain,-32.3297119140625,-33.272743225097656,-32.80122756958008,35.70014190673828,37.15486526489258,36.434764614400706,5.829854174427792,5.8551977502124775,8.440714102344895,7.97581442871428
