contrast,lead_h,patch_site,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_zwd,6,dec_s0_pre_skip,14,-0.253419314820186,-0.09246682390383905,0.38328545831343674
actual_vs_uniform_zwd,6,dec_s1_post_skip,14,0.1829762529887135,0.09445895170811812,0.23892225258540933
actual_vs_uniform_zwd,6,dec_s1_pre_skip,14,-0.2836831994479896,-0.12183039224044026,0.40564076475988387
actual_vs_uniform_zwd,6,dec_s2_post_concat,14,0.47681770483866004,0.5262419093695557,0.43034407939989905
actual_vs_uniform_zwd,6,dec_s2_pre_concat,14,0.1829762529887135,0.09445895170811812,0.23892225258540933
actual_vs_uniform_zwd,6,enc_s0_skip,14,0.7629976824814226,0.8781901775240074,0.7088486889050758
actual_vs_uniform_zwd,6,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,6,enc_s2_bottleneck,14,-0.253419314820186,-0.09246682390383905,0.38328545831343674
actual_vs_uniform_zwd,12,dec_s0_pre_skip,14,-0.08082667148535294,0.0037501200134882695,0.3580737729490791
actual_vs_uniform_zwd,12,dec_s1_post_skip,14,0.09419357002891506,0.009202680389559627,0.25875576657538746
actual_vs_uniform_zwd,12,dec_s1_pre_skip,14,-0.13155944421709048,-0.0027941439028744868,0.37962891318600217
actual_vs_uniform_zwd,12,dec_s2_post_concat,14,0.3754911894810323,0.21797250109122654,0.3922674828646818
actual_vs_uniform_zwd,12,dec_s2_pre_concat,14,0.09419357002891506,0.009202680389559627,0.25875576657538746
actual_vs_uniform_zwd,12,enc_s0_skip,14,0.6157473364186374,0.528317774019693,0.6387116247220063
actual_vs_uniform_zwd,12,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,12,enc_s2_bottleneck,14,-0.08082667148535294,0.0037501200134882695,0.3580737729490791
actual_vs_uniform_zwd,24,dec_s0_pre_skip,14,-0.11118750338903723,-0.014310828338370305,0.5234177383559977
actual_vs_uniform_zwd,24,dec_s1_post_skip,14,-0.4628907243828103,-0.1709260673270574,0.5763102438313166
actual_vs_uniform_zwd,24,dec_s1_pre_skip,14,-0.09536234749614701,-0.0422739807010927,0.6186072989484731
actual_vs_uniform_zwd,24,dec_s2_post_concat,14,-0.17747675613735933,0.0911026612072544,0.9532598904707543
actual_vs_uniform_zwd,24,dec_s2_pre_concat,14,-0.4628907243828103,-0.1709260673270574,0.5763102438313166
actual_vs_uniform_zwd,24,enc_s0_skip,14,-0.06649378641404927,0.15167481557847914,0.9949383459752875
actual_vs_uniform_zwd,24,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,24,enc_s2_bottleneck,14,-0.11118750338903723,-0.014310828338370305,0.5234177383559977
