contrast,lead_h,patch_region,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_zwd,6,hotspot_gaussian,16,0.14209874783797333,0.06356168492787176,0.6690345659628345
actual_vs_uniform_zwd,6,low_near_gaussian,16,0.006229623424867584,0.006280213673405814,0.014839399940629975
actual_vs_uniform_zwd,6,mountain_near,16,0.185969572019273,0.0003461232275606389,0.4639038984133967
actual_vs_uniform_zwd,6,remote_control,16,0.005177842670152517,0.0018929614525112846,0.01794847110782157
actual_vs_uniform_zwd,6,target_box,16,0.2464039019722122,0.030897266780246364,0.5053807583228334
actual_vs_uniform_zwd,6,upstream,16,-0.007733712875152544,0.0,0.3146989215406891
actual_vs_uniform_zwd,6,whole,16,0.13519433113367862,0.06535960280436731,0.9490496688696448
actual_vs_uniform_zwd,12,hotspot_gaussian,16,0.21123002082272987,0.17525293102422188,0.4849630780227937
actual_vs_uniform_zwd,12,low_near_gaussian,16,0.0076240169658158725,0.0015004761054573587,0.02629801180634072
actual_vs_uniform_zwd,12,mountain_near,16,-0.07576010602461085,-0.00016961256918407428,0.5520762378072388
actual_vs_uniform_zwd,12,remote_control,16,0.1053751961819514,0.011858001547342737,0.1292433239165974
actual_vs_uniform_zwd,12,target_box,16,0.1760800613024417,0.0011500922454323634,0.5375504901014152
actual_vs_uniform_zwd,12,upstream,16,0.229365835378271,0.27142399695804775,0.299462935984235
actual_vs_uniform_zwd,12,whole,16,0.12169624429689149,0.23659020830081345,0.6004350293338366
actual_vs_uniform_zwd,24,hotspot_gaussian,16,-0.46682732407277266,-0.16841110780858562,0.8125991935633977
actual_vs_uniform_zwd,24,low_near_gaussian,16,0.07006416235327832,0.04098146430456551,0.09663274335743005
actual_vs_uniform_zwd,24,mountain_near,16,-0.14830805237531763,0.0,0.7444708490226652
actual_vs_uniform_zwd,24,remote_control,16,0.036747316967763066,0.019104526563388798,0.10787929996162282
actual_vs_uniform_zwd,24,target_box,16,-0.17086480487726166,-0.0008378728790542029,0.5374906441538394
actual_vs_uniform_zwd,24,upstream,16,-0.689837491960998,-0.521812880181616,0.7451910184333346
actual_vs_uniform_zwd,24,whole,16,0.06747301657296419,-0.034797904332886445,0.8107061216527836
