case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,dose_mm,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,stage_name,family,stage_index,n_blocks,plus_delta_rms_mean,minus_delta_rms_mean,contrast_rms_mean,common_rms_mean,signed_cosine_mean,contrast_share_mean,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,precip_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,2.11,7.442893028259277,7.42874813079834,7.4478888511657715,-0.0141448974609375,0.004995822906494141,-0.00957036018371582,-0.00457453727722168,0.00957036018371582,True,enc_s0,encoder,0,6,0.001988867181353271,0.0005025592933331305,0.0009707331288761148,0.0010804868361447006,-0.22257116755346876,0.4712254464656868,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,precip_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,2.11,7.442893028259277,7.42874813079834,7.4478888511657715,-0.0141448974609375,0.004995822906494141,-0.00957036018371582,-0.00457453727722168,0.00957036018371582,True,enc_s1,encoder,1,10,0.0017179846297949552,0.0012557838548673318,0.0008216308255214244,0.0012686658999882638,-0.35209458546003075,0.4156969853704674,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,precip_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,2.11,7.442893028259277,7.42874813079834,7.4478888511657715,-0.0141448974609375,0.004995822906494141,-0.00957036018371582,-0.00457453727722168,0.00957036018371582,True,enc_s2,encoder,2,8,0.0007788210205035284,0.0007015843002591282,0.00039236951488419436,0.0006288406075327657,-0.4470790897929229,0.3842827128480611,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,precip_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,2.11,7.442893028259277,7.42874813079834,7.4478888511657715,-0.0141448974609375,0.004995822906494141,-0.00957036018371582,-0.00457453727722168,0.00957036018371582,True,dec_s0,decoder,0,8,0.0013976153277326375,0.0013135336484992877,0.0007013121139607392,0.0011608293061726727,-0.4726367952041805,0.3768886888287836,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,precip_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,2.11,7.442893028259277,7.42874813079834,7.4478888511657715,-0.0141448974609375,0.004995822906494141,-0.00957036018371582,-0.00457453727722168,0.00957036018371582,True,dec_s1,decoder,1,10,0.0024170052260160447,0.002380277111660689,0.0012080007640179248,0.0020723303430713715,-0.507275162591428,0.36833493766030256,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,precip_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,2.11,7.442893028259277,7.42874813079834,7.4478888511657715,-0.0141448974609375,0.004995822906494141,-0.00957036018371582,-0.00457453727722168,0.00957036018371582,True,dec_s2,decoder,2,6,0.006902272657801707,0.0061087530727187795,0.0034448994944492974,0.005534193788965543,-0.47360263664721297,0.38327561082265976,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,,7.442893028259277,8.52341365814209,6.620724678039551,1.0805206298828125,-0.8221683502197266,0.9513444900512695,0.12917613983154297,0.9513444900512695,True,enc_s0,encoder,0,6,0.006970311747863889,0.006180398010959228,0.006352879495049517,0.0017369936880034704,0.8746780730789664,0.7843847555694531,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,,7.442893028259277,8.52341365814209,6.620724678039551,1.0805206298828125,-0.8221683502197266,0.9513444900512695,0.12917613983154297,0.9513444900512695,True,enc_s1,encoder,1,10,0.005838387366384268,0.004023748869076371,0.004220446455292404,0.0026746281422674657,0.5174088116955607,0.6285584769209503,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,,7.442893028259277,8.52341365814209,6.620724678039551,1.0805206298828125,-0.8221683502197266,0.9513444900512695,0.12917613983154297,0.9513444900512695,True,enc_s2,encoder,2,8,0.0027421542908996344,0.0018882949516410008,0.001883499979157932,0.001412832978530787,0.30838441380366505,0.571698779725501,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,,7.442893028259277,8.52341365814209,6.620724678039551,1.0805206298828125,-0.8221683502197266,0.9513444900512695,0.12917613983154297,0.9513444900512695,True,dec_s0,decoder,0,8,0.003943990857806057,0.002897026017308235,0.0026821413193829358,0.002186326964874752,0.22159276253579277,0.5515139545891565,1.0,850,0.0,0.0,1.0,1.0,0.0
