case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,skipped,skip_reason
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.5969111919403076,3.421232223510742,-0.19968318939208984,-0.3753621578216553,0.08783948421478271,-0.28752267360687256,0.28752267360687256,False,,
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.057811737060547,2.9839930534362793,-0.22971367835998535,-0.30353236198425293,0.03690934181213379,-0.26662302017211914,0.26662302017211914,False,,
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.7849338054656982,3.8025877475738525,-0.011660575866699219,0.005993366241455078,-0.008826971054077148,-0.0028336048126220703,0.008826971054077148,True,,
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,precip,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.2475368976593018,3.2879536151885986,-0.03998851776123047,0.00042819976806640625,-0.020208358764648438,-0.01978015899658203,0.020208358764648438,True,,
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,zwd,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,126.06182861328125,122.18577575683594,126.52870178222656,-3.8760528564453125,0.4668731689453125,-2.1714630126953125,-1.70458984375,2.1714630126953125,True,,
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,zwd,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,126.06182861328125,126.17457580566406,126.14091491699219,0.1127471923828125,0.0790863037109375,0.0168304443359375,0.095916748046875,0.095916748046875,False,,
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,zwd,,,,,,,,,,,,,,nan,nan,nan,nan,nan,,True,no_zwd_output_head
alps_east_2020-06-29T06:00:00,alps_east,synoptic,hotspot,t1,q850_trace,precip_zwd,precip,50.22747747747748,8.752625838336058,0.0001581767137395218,1.0,850,0.0,0.004119016552818072,1.0,0.9971609242037252,0.0028390757962748836,3.7965943813323975,3.280714273452759,3.4589383602142334,-0.5158801078796387,-0.33765602111816406,-0.0891120433807373,-0.42676806449890137,0.42676806449890137,False,,
alps_east_2020-06-29T06:00:00,alps_east,synoptic,hotspot,t1,q850_trace,precip_only,precip,50.22747747747748,8.752625838336058,0.0001581767137395218,1.0,850,0.0,0.004119016552818072,1.0,0.9971609242037252,0.0028390757962748836,3.2875254154205322,2.759270668029785,3.0306990146636963,-0.5282547473907471,-0.25682640075683594,-0.13571417331695557,-0.3925405740737915,0.3925405740737915,False,,
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,q850_trace,precip_zwd,precip,30.22747747747748,18.75262583833606,1.5600626284140162e-05,1.0,850,0.0,0.006735983971812498,1.0,0.9941714463220398,0.0058285536779601735,3.7965943813323975,3.7988052368164062,3.801628589630127,0.002210855484008789,0.005034208297729492,-0.0014116764068603516,0.0036225318908691406,0.0036225318908691406,False,,
