case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,stage_name,family,stage_index,n_blocks,plus_delta_rms_mean,minus_delta_rms_mean,contrast_rms_mean,common_rms_mean,signed_cosine_mean,contrast_share_mean
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,8.499271392822266,6.611313343048096,1.1066298484802246,-0.7813282012939453,0.943979024887085,0.16265082359313965,0.943979024887085,True,enc_s0,encoder,0,6,0.006984690437093377,0.0062439025690158205,0.006388054151708881,0.0017499031382612884,0.8730984431043045,0.7840117130232236
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,8.499271392822266,6.611313343048096,1.1066298484802246,-0.7813282012939453,0.943979024887085,0.16265082359313965,0.943979024887085,True,enc_s1,encoder,1,10,0.005764702660962939,0.0040512836771085855,0.004204892902635038,0.002639768156222999,0.5219906178919836,0.6309665283724222
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,8.499271392822266,6.611313343048096,1.1066298484802246,-0.7813282012939453,0.943979024887085,0.16265082359313965,0.943979024887085,True,enc_s2,encoder,2,8,0.0025668315065559,0.0018393643549643457,0.0017942736449185759,0.0013293809170136228,0.3164645247336133,0.5746454184773052
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,8.499271392822266,6.611313343048096,1.1066298484802246,-0.7813282012939453,0.943979024887085,0.16265082359313965,0.943979024887085,True,dec_s0,decoder,0,8,0.003676639520563185,0.0028250809118617326,0.002555398939875886,0.0020540877885650843,0.2330936015872514,0.5550088517810833
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,8.499271392822266,6.611313343048096,1.1066298484802246,-0.7813282012939453,0.943979024887085,0.16265082359313965,0.943979024887085,True,dec_s1,decoder,1,10,0.003582181641831994,0.0038137870840728285,0.002600453852210194,0.002633715607225895,-0.01287457155385326,0.49691342074516454
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,8.499271392822266,6.611313343048096,1.1066298484802246,-0.7813282012939453,0.943979024887085,0.16265082359313965,0.943979024887085,True,dec_s2,decoder,2,6,0.01104248765235146,0.012480457468579212,0.009224417929848036,0.007332257771243651,0.266823266396486,0.5572023189523013
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,7.398155689239502,7.395145893096924,0.0055141448974609375,0.0025043487548828125,0.0015048980712890625,0.004009246826171875,0.004009246826171875,False,enc_s0,encoder,0,6,0.008283283716688553,0.007374817660699288,0.007531251447896163,0.0021837285215345523,0.8562531330127849,0.7747624252351217
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,7.398155689239502,7.395145893096924,0.0055141448974609375,0.0025043487548828125,0.0015048980712890625,0.004009246826171875,0.004009246826171875,False,enc_s1,encoder,1,10,0.007464397512376308,0.004473934648558497,0.005151451705023647,0.0033230175729840996,0.5060477090939329,0.619323773550443
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,7.398155689239502,7.395145893096924,0.0055141448974609375,0.0025043487548828125,0.0015048980712890625,0.004009246826171875,0.004009246826171875,False,enc_s2,encoder,2,8,0.0036274539306759834,0.002019160136114806,0.0024273861199617386,0.0016509119304828346,0.44420406267204765,0.5954406839972386
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,7.398155689239502,7.395145893096924,0.0055141448974609375,0.0025043487548828125,0.0015048980712890625,0.004009246826171875,0.004009246826171875,False,dec_s0,decoder,0,8,0.005194434663280845,0.0027969010698143393,0.0033490360947325826,0.0024870931811165065,0.36136380923490463,0.5742265209775974
