case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,8.499271392822266,6.611313343048096,1.1066298484802246,-0.7813282012939453,0.943979024887085,0.16265082359313965,0.943979024887085,True
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_zwd,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,7.392641544342041,7.398155689239502,7.395145893096924,0.0055141448974609375,0.0025043487548828125,0.0015048980712890625,0.004009246826171875,0.004009246826171875,False
alps_east_2020-06-29T06:00:00,alps_east,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,50.22747747747748,8.752625838336058,0.0001581767137395218,1.0,850,0.0,0.004119016552818072,1.0,0.9971609242037252,0.0028390757962748836,7.392641544342041,8.570172309875488,6.569707870483398,1.1775307655334473,-0.8229336738586426,1.000232219696045,0.17729854583740234,1.000232219696045,True
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,q850_trace,precip_zwd,q850,30.22747747747748,18.75262583833606,1.5600626284140162e-05,1.0,850,0.0,0.006735983971812498,1.0,0.9941714463220398,0.0058285536779601735,7.392641544342041,7.395227432250977,7.391101360321045,0.002585887908935547,-0.0015401840209960938,0.0020630359649658203,0.0005228519439697266,0.0020630359649658203,True
andes_2020-03-25T12:00:00,andes,local,hotspot,t1,q850_trace,precip_zwd,q850,-32.52252252252252,290.54529172445586,0.00013807686627842486,1.0,850,0.0,0.00641025641025641,1.0,0.9943908805094404,0.005609119490559675,5.677609920501709,7.204433917999268,4.2096076011657715,1.5268239974975586,-1.4680023193359375,1.497413158416748,0.029410839080810547,1.497413158416748,True
andes_2020-03-25T12:00:00,andes,local,low_near,t1,q850_trace,precip_zwd,q850,-42.52252252252252,275.54529172445586,2.205087639595149e-06,1.0,850,0.0,0.0,1.0,1.0,0.0,5.677609920501709,5.678555011749268,5.676424503326416,0.0009450912475585938,-0.0011854171752929688,0.0010652542114257812,-0.0001201629638671875,0.0010652542114257812,True
andes_2020-03-25T12:00:00,andes,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,-35.02252252252252,288.04529172445586,0.0002186853380408138,1.0,850,0.0,0.008353808353808353,1.0,0.9939236383230915,0.006076361676908491,5.677609920501709,7.380545616149902,4.023077487945557,1.7029356956481934,-1.6545324325561523,1.6787340641021729,0.024201631546020508,1.6787340641021729,True
andes_2020-03-25T12:00:00,andes,synoptic,low_near,t1,q850_trace,precip_zwd,q850,-45.02252252252252,273.04529172445586,1.6329822756233625e-05,1.0,850,0.0,0.017014781945111784,1.0,0.9856767165060454,0.014323283493954649,5.677609920501709,5.711377143859863,5.645518779754639,0.0337672233581543,-0.03209114074707031,0.032929182052612305,0.0008380413055419922,0.032929182052612305,True
aquitaine_basin_2020-10-02T06:00:00,aquitaine_basin,local,hotspot,t1,q850_trace,precip_zwd,q850,44.97747747747748,359.3983431897952,7.633692439412698e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,4.769473075866699,5.735377311706543,4.055521488189697,0.9659042358398438,-0.713951587677002,0.8399279117584229,0.1259763240814209,0.8399279117584229,True
aquitaine_basin_2020-10-02T06:00:00,aquitaine_basin,local,low_near,t1,q850_trace,precip_zwd,q850,54.97747747747748,344.3983431897952,1.489134206167364e-06,1.0,850,0.0,0.05391832958900489,1.0,0.9490475464748457,0.05095245352515427,4.769473075866699,4.7574262619018555,4.7697529792785645,-0.01204681396484375,0.0002799034118652344,-0.006163358688354492,-0.005883455276489258,0.006163358688354492,True
