case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,dose_mm,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,precip_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,2.11,7.442893028259277,7.42874813079834,7.4478888511657715,-0.0141448974609375,0.004995822906494141,-0.00957036018371582,-0.00457453727722168,0.00957036018371582,True,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,q850,47.72747747747748,11.252625838336058,9.22260369407013e-05,,7.442893028259277,8.52341365814209,6.620724678039551,1.0805206298828125,-0.8221683502197266,0.9513444900512695,0.12917613983154297,0.9513444900512695,True,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,precip_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,2.11,7.442893028259277,7.443696975708008,7.442965030670166,0.0008039474487304688,7.200241088867188e-05,0.00036597251892089844,0.0004379749298095703,0.0004379749298095703,False,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,local,low_near,t1,q850_trace,precip_only,q850,57.72747747747748,351.25262583833603,2.0959887478966266e-06,,7.442893028259277,7.44803524017334,7.442447662353516,0.0051422119140625,-0.00044536590576171875,0.0027937889099121094,0.0023484230041503906,0.0027937889099121094,True,1.0,850,0.0,0.0,1.0,1.0,0.0
alps_east_2020-06-29T06:00:00,alps_east,synoptic,hotspot,t1,precip_trace,precip_only,q850,50.22747747747748,8.752625838336058,0.0001581767137395218,2.11,7.442893028259277,7.427738189697266,7.44356107711792,-0.015154838562011719,0.0006680488586425781,-0.007911443710327148,-0.00724339485168457,0.007911443710327148,True,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,synoptic,hotspot,t1,q850_trace,precip_only,q850,50.22747747747748,8.752625838336058,0.0001581767137395218,,7.442893028259277,8.607516288757324,6.585263729095459,1.1646232604980469,-0.8576292991638184,1.0111262798309326,0.15349698066711426,1.0111262798309326,True,1.0,850,0.0,0.004119016552818072,1.0,0.9971609242037252,0.0028390757962748836
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,precip_trace,precip_only,q850,30.22747747747748,18.75262583833606,1.5600626284140162e-05,2.11,7.442893028259277,7.445290565490723,7.446368217468262,0.0023975372314453125,0.003475189208984375,-0.0005388259887695312,0.0029363632202148438,0.0029363632202148438,False,,,,,,,
alps_east_2020-06-29T06:00:00,alps_east,synoptic,low_near,t1,q850_trace,precip_only,q850,30.22747747747748,18.75262583833606,1.5600626284140162e-05,,7.442893028259277,7.4435296058654785,7.437142848968506,0.0006365776062011719,-0.005750179290771484,0.003193378448486328,-0.0025568008422851562,0.003193378448486328,True,1.0,850,0.0,0.006735983971812498,1.0,0.9941714463220398,0.0058285536779601735
andes_2020-03-25T12:00:00,andes,local,hotspot,t1,precip_trace,precip_only,q850,-32.52252252252252,290.54529172445586,0.00013807686627842486,2.11,5.771646022796631,5.818268299102783,5.766211032867432,0.046622276306152344,-0.005434989929199219,0.02602863311767578,0.020593643188476562,0.02602863311767578,True,,,,,,,
andes_2020-03-25T12:00:00,andes,local,hotspot,t1,q850_trace,precip_only,q850,-32.52252252252252,290.54529172445586,0.00013807686627842486,,5.771646022796631,7.2993292808532715,4.288065433502197,1.5276832580566406,-1.4835805892944336,1.505631923675537,0.022051334381103516,1.505631923675537,True,1.0,850,0.0,0.00641025641025641,1.0,0.9943908805094404,0.005609119490559675
