case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,stage_name,family,stage_index,n_blocks,plus_delta_rms_mean,minus_delta_rms_mean,contrast_rms_mean,common_rms_mean,signed_cosine_mean,contrast_share_mean
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.5969111919403076,3.421232223510742,-0.19968318939208984,-0.3753621578216553,0.08783948421478271,-0.28752267360687256,0.28752267360687256,False,enc_s0,encoder,0,6,0.006984690437093377,0.0062439025690158205,0.006388054151708881,0.0017499031382612884,0.8730984431043045,0.7840117130232236
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.5969111919403076,3.421232223510742,-0.19968318939208984,-0.3753621578216553,0.08783948421478271,-0.28752267360687256,0.28752267360687256,False,enc_s1,encoder,1,10,0.005764702660962939,0.0040512836771085855,0.004204892902635038,0.002639768156222999,0.5219906178919836,0.6309665283724222
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.5969111919403076,3.421232223510742,-0.19968318939208984,-0.3753621578216553,0.08783948421478271,-0.28752267360687256,0.28752267360687256,False,enc_s2,encoder,2,8,0.0025668315065559,0.0018393643549643457,0.0017942736449185759,0.0013293809170136228,0.3164645247336133,0.5746454184773052
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.5969111919403076,3.421232223510742,-0.19968318939208984,-0.3753621578216553,0.08783948421478271,-0.28752267360687256,0.28752267360687256,False,dec_s0,decoder,0,8,0.003676639520563185,0.0028250809118617326,0.002555398939875886,0.0020540877885650843,0.2330936015872514,0.5550088517810833
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.5969111919403076,3.421232223510742,-0.19968318939208984,-0.3753621578216553,0.08783948421478271,-0.28752267360687256,0.28752267360687256,False,dec_s1,decoder,1,10,0.003582181641831994,0.0038137870840728285,0.002600453852210194,0.002633715607225895,-0.01287457155385326,0.49691342074516454
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_zwd,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.7965943813323975,3.5969111919403076,3.421232223510742,-0.19968318939208984,-0.3753621578216553,0.08783948421478271,-0.28752267360687256,0.28752267360687256,False,dec_s2,decoder,2,6,0.01104248765235146,0.012480457468579212,0.009224417929848036,0.007332257771243651,0.266823266396486,0.5572023189523013
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.057811737060547,2.9839930534362793,-0.22971367835998535,-0.30353236198425293,0.03690934181213379,-0.26662302017211914,0.26662302017211914,False,enc_s0,encoder,0,6,0.006970311747863889,0.006180398010959228,0.006352879495049517,0.0017369936880034704,0.8746780730789664,0.7843847555694531
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.057811737060547,2.9839930534362793,-0.22971367835998535,-0.30353236198425293,0.03690934181213379,-0.26662302017211914,0.26662302017211914,False,enc_s1,encoder,1,10,0.005838387366384268,0.004023748869076371,0.004220446455292404,0.0026746281422674657,0.5174088116955607,0.6285584769209503
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.057811737060547,2.9839930534362793,-0.22971367835998535,-0.30353236198425293,0.03690934181213379,-0.26662302017211914,0.26662302017211914,False,enc_s2,encoder,2,8,0.0027421542908996344,0.0018882949516410008,0.001883499979157932,0.001412832978530787,0.30838441380366505,0.571698779725501
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.057811737060547,2.9839930534362793,-0.22971367835998535,-0.30353236198425293,0.03690934181213379,-0.26662302017211914,0.26662302017211914,False,dec_s0,decoder,0,8,0.003943990857806057,0.002897026017308235,0.0026821413193829358,0.002186326964874752,0.22159276253579277,0.5515139545891565
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.057811737060547,2.9839930534362793,-0.22971367835998535,-0.30353236198425293,0.03690934181213379,-0.26662302017211914,0.26662302017211914,False,dec_s1,decoder,1,10,0.0036048795562237503,0.0038362872553989293,0.0026068920851685107,0.00265937295043841,-0.020123679197021606,0.49520365374704484
alps_east_2020-06-29T06:00:00,alps_east,local,hotspot,t1,q850_trace,precip_only,precip,47.72747747747748,11.252625838336058,9.22260369407013e-05,1.0,850,0.0,0.0,1.0,1.0,0.0,3.2875254154205322,3.057811737060547,2.9839930534362793,-0.22971367835998535,-0.30353236198425293,0.03690934181213379,-0.26662302017211914,0.26662302017211914,False,dec_s2,decoder,2,6,0.01123739251246055,0.012918307756384214,0.009439831910034021,0.007581385318189859,0.2552058530951818,0.5546882331086594
