contrast,lead_h,patch_site,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_q,6,dec_s0_pre_skip,14,0.29180168268978957,0.23086008456017254,0.2999954802313635
actual_vs_uniform_q,6,dec_s1_post_skip,14,0.4419894782687944,0.49002660388895314,0.37318287084373974
actual_vs_uniform_q,6,dec_s1_pre_skip,14,0.3022103974298704,0.24688353443755168,0.306458772165417
actual_vs_uniform_q,6,dec_s2_post_concat,14,0.48998162209809104,0.5861634354727754,0.41198622024724035
actual_vs_uniform_q,6,dec_s2_pre_concat,14,0.4419894782687944,0.49002660388895314,0.37318287084373974
actual_vs_uniform_q,6,enc_s0_skip,14,0.16076564535740118,0.04623674129518755,0.23934044901603446
actual_vs_uniform_q,6,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_q,6,enc_s2_bottleneck,14,0.29180168268978957,0.23086008456017254,0.2999954802313635
actual_vs_uniform_q,12,dec_s0_pre_skip,14,0.27965025639086744,0.2521864037408945,0.2470478483648677
actual_vs_uniform_q,12,dec_s1_post_skip,14,0.3935635847832626,0.4167979382266318,0.33179478720147065
actual_vs_uniform_q,12,dec_s1_pre_skip,14,0.28166217632699103,0.2453894941938447,0.256804504352018
actual_vs_uniform_q,12,dec_s2_post_concat,14,0.44657523965480367,0.4613699441557809,0.37932506157979695
actual_vs_uniform_q,12,dec_s2_pre_concat,14,0.3935635847832626,0.4167979382266318,0.33179478720147065
actual_vs_uniform_q,12,enc_s0_skip,14,0.22468995431668007,0.15767369178786642,0.2700535077731009
actual_vs_uniform_q,12,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_q,12,enc_s2_bottleneck,14,0.27965025639086744,0.2521864037408945,0.2470478483648677
actual_vs_uniform_q,24,dec_s0_pre_skip,14,0.3087542880666328,0.23940367687172698,0.30695414332240384
actual_vs_uniform_q,24,dec_s1_post_skip,14,0.4017863085921446,0.29034371499115613,0.37849398313389754
actual_vs_uniform_q,24,dec_s1_pre_skip,14,0.31062009850726346,0.24150060901201895,0.31807508111190497
actual_vs_uniform_q,24,dec_s2_post_concat,14,0.4356971629134119,0.3097549219479741,0.4013181420049403
actual_vs_uniform_q,24,dec_s2_pre_concat,14,0.4017863085921446,0.29034371499115613,0.37849398313389754
actual_vs_uniform_q,24,enc_s0_skip,14,0.24702393343340895,0.20052269245690463,0.256179583487695
actual_vs_uniform_q,24,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_q,24,enc_s2_bottleneck,14,0.3087542880666328,0.23940367687172698,0.30695414332240384
