contrast,lead_h,patch_region,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_q,6,hotspot_gaussian,16,0.556100653767016,0.666681303439995,0.3217701189579612
actual_vs_uniform_q,6,low_near_gaussian,16,0.007637269537270142,0.008344474946134151,0.006667831971035248
actual_vs_uniform_q,6,mountain_near,16,0.15456437139070278,0.011838783764891024,0.22784235324120766
actual_vs_uniform_q,6,remote_control,16,-0.0010969144966234121,-4.73171551563586e-06,0.002862219845313917
actual_vs_uniform_q,6,target_box,16,0.41729693244268495,0.39361073352498566,0.30908273375882955
actual_vs_uniform_q,6,upstream,16,0.3385686110381788,0.2786346388830426,0.24191782546903548
actual_vs_uniform_q,6,whole,16,0.644901564772985,0.7315263731943142,0.3716043944230868
actual_vs_uniform_q,12,hotspot_gaussian,16,0.5557431240100976,0.656982635052681,0.2774311642981548
actual_vs_uniform_q,12,low_near_gaussian,16,0.008718109644221627,0.010253468732153177,0.00505852988518362
actual_vs_uniform_q,12,mountain_near,16,0.14579220430762416,0.04538465786871379,0.16776327717645717
actual_vs_uniform_q,12,remote_control,16,-0.001965354133312301,-0.001750665999809501,0.001718651218572342
actual_vs_uniform_q,12,target_box,16,0.34950607414909596,0.2710547870509791,0.22119654194625124
actual_vs_uniform_q,12,upstream,16,0.3296624236091372,0.26916394148334116,0.20239806839933083
actual_vs_uniform_q,12,whole,16,0.6244790894790284,0.7488861379638776,0.311233001958323
actual_vs_uniform_q,24,hotspot_gaussian,16,0.5698678127528121,0.6380249042364343,0.3058919977741459
actual_vs_uniform_q,24,low_near_gaussian,16,0.01285080262731143,0.007789144345426974,0.011140078890048744
actual_vs_uniform_q,24,mountain_near,16,0.18991134355860764,0.061919729318764355,0.19469522964598726
actual_vs_uniform_q,24,remote_control,16,-0.0022985644588903002,-0.0004910976286797995,0.004891428701078452
actual_vs_uniform_q,24,target_box,16,0.23866937619654138,0.2334596402964667,0.19231511752885494
actual_vs_uniform_q,24,upstream,16,0.37847208600040166,0.1961560380613874,0.30245333783471884
actual_vs_uniform_q,24,whole,16,0.7251467329734005,0.9101325312449542,0.3295437790257089
