contrast,lead_h,patch_region,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_q,6,hotspot_gaussian,16,0.4221588998321899,0.40926208904290373,0.2300147204264289
actual_vs_uniform_q,6,low_near_gaussian,16,0.006843973854639136,0.006958752516486368,0.0035080720592596207
actual_vs_uniform_q,6,mountain_near,16,0.17716451444894366,0.035651206317889636,0.21530730259339495
actual_vs_uniform_q,6,remote_control,16,0.0005228845283304671,4.327107847830098e-05,0.0014069191044985055
actual_vs_uniform_q,6,target_box,16,0.3520467016342795,0.35263712855671364,0.2961752575211773
actual_vs_uniform_q,6,upstream,16,0.18533961345520605,0.2100908848736103,0.09268785030316079
actual_vs_uniform_q,6,whole,16,0.501317840220144,0.4867902522018994,0.28534021124637693
actual_vs_uniform_q,12,hotspot_gaussian,16,0.4274677629296175,0.4363920355319711,0.2693732272710766
actual_vs_uniform_q,12,low_near_gaussian,16,0.006997928432942509,0.007970794555709072,0.006979372949194636
actual_vs_uniform_q,12,mountain_near,16,0.09932490248005763,0.043405180561743674,0.3456002652266146
actual_vs_uniform_q,12,remote_control,16,0.0016306384405493444,0.0,0.002894524812430194
actual_vs_uniform_q,12,target_box,16,0.23339661528909555,0.1843328180135495,0.23042908996576014
actual_vs_uniform_q,12,upstream,16,0.29859578845634893,0.22502271772261512,0.23368752397461146
actual_vs_uniform_q,12,whole,16,0.6012619982869944,0.6130996357127667,0.30423826846330043
actual_vs_uniform_q,24,hotspot_gaussian,16,0.3676969424890892,0.28891215712907015,0.39532721869153853
actual_vs_uniform_q,24,low_near_gaussian,16,0.04087538259956528,0.0192085637733975,0.0348970994909478
actual_vs_uniform_q,24,mountain_near,16,-0.2198117088244378,0.019207099602588044,0.5814654408100675
actual_vs_uniform_q,24,remote_control,16,-0.010392934660878813,-0.003681249087011838,0.014688301385571598
actual_vs_uniform_q,24,target_box,16,0.231355631459805,0.1681859059075158,0.1976471793674275
actual_vs_uniform_q,24,upstream,16,0.05437533359938938,0.11108067267644012,0.2662704266289223
actual_vs_uniform_q,24,whole,16,0.38441677452789236,0.24975604012346847,0.42048050723372155
