contrast,lead_h,patch_site,n_obs,mean_recovery,median_recovery,std_recovery
actual_vs_uniform_zwd,6,dec_s0_pre_skip,14,-0.8982744819608902,-0.12230755399087692,1.3760853508333033
actual_vs_uniform_zwd,6,dec_s1_post_skip,14,-0.2850362626509638,0.0023487038351833215,0.6727327490857407
actual_vs_uniform_zwd,6,dec_s1_pre_skip,14,-1.1027158632273297,-0.17255668805481422,1.5792995827006768
actual_vs_uniform_zwd,6,dec_s2_post_concat,14,0.3834349267200233,0.48943443093421835,0.5241516025274608
actual_vs_uniform_zwd,6,dec_s2_pre_concat,14,-0.2850362626509638,0.0023487038351833215,0.6727327490857407
actual_vs_uniform_zwd,6,enc_s0_skip,14,1.5658803484242427,0.9702364052770049,1.7812915456250644
actual_vs_uniform_zwd,6,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,6,enc_s2_bottleneck,14,-0.8982744819608902,-0.12230755399087692,1.3760853508333033
actual_vs_uniform_zwd,12,dec_s0_pre_skip,14,0.043143298331756244,0.01897162142475576,0.9017459067761162
actual_vs_uniform_zwd,12,dec_s1_post_skip,14,0.15780940637330168,-0.002628621815137821,0.9491136719940969
actual_vs_uniform_zwd,12,dec_s1_pre_skip,14,0.048787336210255945,0.005258434910402986,0.9832478003443611
actual_vs_uniform_zwd,12,dec_s2_post_concat,14,0.44048681557704494,0.3703424168815412,0.518834184212613
actual_vs_uniform_zwd,12,dec_s2_pre_concat,14,0.15780940637330168,-0.002628621815137821,0.9491136719940969
actual_vs_uniform_zwd,12,enc_s0_skip,14,0.3750590524894726,-0.004211420715773416,1.238096336021807
actual_vs_uniform_zwd,12,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,12,enc_s2_bottleneck,14,0.043143298331756244,0.01897162142475576,0.9017459067761162
actual_vs_uniform_zwd,24,dec_s0_pre_skip,14,0.03976489217502431,0.005853693421317582,0.4763214962277812
actual_vs_uniform_zwd,24,dec_s1_post_skip,14,0.17857898475306083,-0.011772594917710228,0.6516037267075956
actual_vs_uniform_zwd,24,dec_s1_pre_skip,14,0.08131985094388187,0.03563510687184608,0.4813200007456958
actual_vs_uniform_zwd,24,dec_s2_post_concat,14,0.11308662245504315,0.0034043471466734133,0.49966194165039257
actual_vs_uniform_zwd,24,dec_s2_pre_concat,14,0.17857898475306083,-0.011772594917710228,0.6516037267075956
actual_vs_uniform_zwd,24,enc_s0_skip,14,0.03490492232913338,-0.0017674219940938644,0.39518626709282245
actual_vs_uniform_zwd,24,enc_s1_skip,14,0.0,0.0,0.0
actual_vs_uniform_zwd,24,enc_s2_bottleneck,14,0.03976489217502431,0.005853693421317582,0.4763214962277812
